"word_lex_0";"word_form_0";"word_gramm_0";"word_pos_0";"freq";"freq_CI_bottom";"freq_CI_upper";"ipm";"ipm_CI_bottom";"ipm_CI_upper";"hits";"hits_CI_bottom";"hits_CI_upper"
"и";"и";"CONJ";"CONJ";"0.033669";"0.033317251189800313";"0.03402433171077481";"33669.0";"33317.25118980032";"34024.331710774815";"13113116.371197";"12976120.22989258";"13251507.950209346"
"в";"в";"PR";"PR";"0.0292";"0.028871805480573227";"0.029531811756090792";"29200.0";"28871.805480573228";"29531.811756090796";"11372568.1796";"11244745.763560548";"11501799.406275868"
"не";"не";"PART";"PART";"0.017617";"0.017360999723176077";"0.017876706507651663";"17617.0";"17360.999723176075";"17876.706507651666";"6861319.644521";"6761614.829377968";"6962467.93099204"
"на";"на";"PR";"PR";"0.01515";"0.01491244297055734";"0.015391282214651986";"15150.0";"14912.442970557342";"15391.282214651987";"5900493.42195";"5807971.726269182";"5994465.9711505"
"с";"с";"PR";"PR";"0.010812";"0.010611173380693461";"0.011016585134109427";"10812.0";"10611.17338069346";"11016.58513410943";"4210965.998556";"4132749.7512840074";"4290646.080274907"
"что";"что";"CONJ";"CONJ";"0.008127";"0.007952905469855357";"0.008304873674260282";"8127.0";"7952.905469855357";"8304.873674260281";"3165234.986151";"3097430.126090542";"3234511.7151880213"
"я";"я";"SPRO,1p,nom,sg";"SPRO";"0.008099";"0.007925206482965613";"0.008276572876278799";"8099.0";"7925.206482965613";"8276.572876278799";"3154329.783787";"3086642.1597580262";"3223489.3605790655"
"а";"а";"CONJ";"CONJ";"0.007472";"0.007305092129138241";"0.0076426920474540645";"7472.0";"7305.092129138242";"7642.692047454065";"2910131.145136";"2845125.2841398623";"2976610.8351150025"
"он";"он";"SPRO,3p,m,nom,sg";"SPRO";"0.006682";"0.006524203104988325";"0.006843587141308664";"6682.0";"6524.203104988324";"6843.587141308665";"2602448.6498660003";"2540991.2544191005";"2665382.2382728304"
"по";"по";"PR";"PR";"0.005628";"0.005483262312039236";"0.0057765360323194445";"5628.0";"5483.262312039235";"5776.536032319445";"2191945.675164";"2135574.468845799";"2249796.228406471"
"к";"к";"PR";"PR";"0.005538";"0.0053944330683331244";"0.005685365967510899";"5538.0";"5394.4330683331245";"5685.3659675109";"2156893.238994";"2100978.0089009344";"2214288.0853251787"
"но";"но";"CONJ";"CONJ";"0.00542";"0.0052779828076991294";"0.005565817134759011";"5420.0";"5277.982807699131";"5565.817134759011";"2110935.60046";"2055623.9497025681";"2167727.2205559174"
"и";"и";"PART";"PART";"0.004705";"0.004572763843539438";"0.004841041592385599";"4705.0";"4572.763843539437";"4841.041592385599";"1832463.468665";"1780961.252735";"1885447.7934823486"
"как";"как";"CONJ";"CONJ";"0.004528";"0.00439829960729478";"0.004661507188551432";"4528.0";"4398.29960729478";"4661.507188551432";"1763527.010864";"1713012.4026804038";"1815524.2575855025"
"из";"из";"PR";"PR";"0.004223";"0.004097789928148924";"0.004352019211064285";"4223.0";"4097.789928148924";"4352.019211064286";"1644738.199399";"1595972.4432723229";"1694987.5067382737"
"у";"у";"PR";"PR";"0.004108";"0.003984525459860613";"0.004235284562917202";"4108.0";"3984.5254598606134";"4235.2845629172025";"1599948.9754040001";"1551859.1594389337";"1649522.6867049066"
"за";"за";"PR";"PR";"0.003957";"0.0038358420586063753";"0.004081969124330183";"3957.0";"3835.8420586063753";"4081.9691243301827";"1541138.776941";"1493951.2101944597";"1589810.6908721614"
"от";"от";"PR";"PR";"0.003754";"0.003636028067813692";"0.003875784674806475";"3754.0";"3636.028067813692";"3875.784674806475";"1462076.059802";"1416129.3528818653";"1509507.7213590909"
"о";"о";"PR";"PR";"0.003429";"0.00331631588673776";"0.003545499352912815";"3429.0";"3316.3158867377597";"3545.499352912815";"1335497.818077";"1291610.565993692";"1380870.997319475"
"же";"же";"PART";"PART";"0.003417";"0.003304515874090766";"0.0035332994577578544";"3417.0";"3304.5158740907664";"3533.2994577578547";"1330824.159921";"1287014.7972146482";"1376119.4856950312"
"так";"так";"ADVPRO";"ADVPRO";"0.003154";"0.003045991489707518";"0.00326582586281494";"3154.0";"3045.991489707518";"3265.82586281494";"1228393.152002";"1186326.914081511";"1271946.1399850652"
"для";"для";"PR";"PR";"0.003115";"0.0030076709852017844";"0.0032261466669643224";"3115.0";"3007.6709852017843";"3226.1466669643223";"1213203.762995";"1171402.1692127397";"1256492.2235425017"
"быть";"было";"V,act,indic,intr,n,praet,sg";"V";"0.003005";"0.0028996109761999073";"0.0031142075211149528";"3005.0";"2899.6109761999073";"3114.2075211149527";"1170361.896565";"1129315.874011985";"1212895.1150446201"
"его";"его";"APRO";"APRO";"0.002972";"0.0028671999327286035";"0.0030806188181308827";"2972.0";"2867.1999327286035";"3080.618818130883";"1157509.336636";"1116692.6958733075";"1199813.2720737066"
"это";"это";"SPRO,inan,n,nom,sg";"SPRO";"0.002962";"0.0028573790547194926";"0.0030704397729716987";"2962.0";"2857.3790547194926";"3070.439772971699";"1153614.621506";"1112867.7436561107";"1195848.8239546642"
"она";"она";"SPRO,3p,f,nom,sg";"SPRO";"0.002755";"0.0026541577953946493";"0.0028596626227128316";"2755.0";"2654.15779539465";"2859.662622712832";"1072994.018315";"1033718.8523130986";"1113757.1283375148"
"только";"только";"PART";"PART";"0.002558";"0.002460889301805536";"0.0026589326298865307";"2558.0";"2460.889301805536";"2658.932629886531";"996268.1302540001";"958446.2796997158";"1035578.5143269761"
"еще";"еще";"ADV";"ADV";"0.002484";"0.002388328223657748";"0.0025834942765889345";"2484.0";"2388.328223657748";"2583.4942765889346";"967447.238292";"930185.8068085855";"1006197.4247299329"
"мы";"мы";"SPRO,1p,nom,pl";"SPRO";"0.002471";"0.002375583225529156";"0.002570239374598743";"2471.0";"2375.5832255291557";"2570.239374598743";"962384.1086230001";"925221.9931042605";"1001035.0179971462"
"быть";"был";"V,act,indic,intr,m,praet,sg";"V";"0.002203";"0.0021129991897595153";"0.0022968254694580737";"2203.0";"2112.9991897595155";"2296.8254694580737";"858005.743139";"822952.9914034127";"894548.0906867713"
"я";"мне";"SPRO,1p,dat,sg";"SPRO";"0.002188";"0.002098311870068491";"0.0022815129043966547";"2188.0";"2098.311870068491";"2281.5129043966544";"852163.670444";"817232.6987814346";"888584.2828043894"
"или";"или";"CONJ";"CONJ";"0.002144";"0.002055235338189199";"0.0022365897743354484";"2144.0";"2055.235338189199";"2236.589774335449";"835026.9238720001";"800455.616735614";"871088.0033707557"
"до";"до";"PR";"PR";"0.002116";"0.002027827969641486";"0.0022079973580119354";"2116.0";"2027.827969641486";"2207.9973580119354";"824121.721508";"789781.2274399876";"859952.0717249112"
"они";"они";"SPRO,3p,nom,pl";"SPRO";"0.002079";"0.001991617171761413";"0.0021702084401693154";"2079.0";"1991.617171761413";"2170.2084401693155";"809711.2755270001";"775678.1532026984";"845234.3647181133"
"бы";"бы";"V,cond";"V";"0.00205";"0.001963240685317948";"0.0021405851494247247";"2050.0";"1963.240685317948";"2140.585149424725";"798416.6016500001";"764626.3200939381";"833696.9368517788"
"уже";"уже";"ADV";"ADV";"0.001998";"0.0019123699180411931";"0.002087456316226345";"1998.0";"1912.3699180411934";"2087.4563162263453";"778164.082974";"744813.6053951895";"813004.7698020812"
"он";"его";"SPRO,3p,acc,m,sg";"SPRO";"0.001973";"0.0018879180764290828";"0.002061908349917718";"1973.0";"1887.9180764290827";"2061.908349917718";"768427.295149";"735290.3096468846";"803054.5647097871"
"что";"что";"SPRO,inan,n,nom,sg";"SPRO";"0.001942";"0.0018576026645305162";"0.002030223999994569";"1942.0";"1857.6026645305162";"2030.2239999945693";"756353.6782460001";"723483.3203075316";"790714.4130067969"
"как";"как";"ADVPRO";"ADVPRO";"0.001825";"0.001743237257256642";"0.0019105903061993905";"1825.0";"1743.2372572566421";"1910.5903061993904";"710785.511225";"678941.2521017146";"744120.4972786099"
"когда";"когда";"CONJ";"CONJ";"0.001772";"0.0016914586042294365";"0.0018563693664346316";"1772.0";"1691.4586042294368";"1856.3693664346317";"690143.521036";"658774.9417661069";"723002.9858321474"
"если";"если";"CONJ";"CONJ";"0.0017";"0.001621147578639964";"0.0017826809452123789";"1700.0";"1621.147578639964";"1782.6809452123791";"662101.5721";"631390.8002491933";"694303.4449281354"
"ты";"ты";"SPRO,2p,nom,sg";"SPRO";"0.001648";"0.0015703898474743786";"0.0017294390759028293";"1648.0";"1570.3898474743785";"1729.4390759028292";"641849.053424";"611622.1098956855";"673567.2535331968"
"вот";"вот";"PART";"PART";"0.001628";"0.0015508728751020093";"0.0017089562019386082";"1628.0";"1550.8728751020094";"1708.9562019386083";"634059.623164";"604020.8051366396";"665589.7576197634"
"вы";"вы";"SPRO,2p,nom,pl";"SPRO";"0.001596";"0.0015196519587915";"0.001676177364110573";"1596.0";"1519.6519587915002";"1676.1773641105729";"621596.534748";"591861.1476239392";"652823.3340564967"
"он";"ему";"SPRO,3p,dat,m,sg";"SPRO";"0.001561";"0.0014855131154664154";"0.0016403164763466246";"1561.0";"1485.5131154664157";"1640.3164763466245";"607965.0317930001";"578565.0406620485";"638856.5398415487"
"при";"при";"PR";"PR";"0.001507";"0.0014328609977412392";"0.0015849690089630073";"1507.0";"1432.8609977412393";"1584.9690089630076";"586933.5700910001";"558058.54070897";"617300.2779789331"
"чтобы";"чтобы";"CONJ,cond";"CONJ";"0.001484";"0.0014104424481781112";"0.001561387735239056";"1484.0";"1410.4424481781111";"1561.3877352390562";"577975.725292";"549327.1542913531";"608116.0436231986"
"даже";"даже";"PART";"PART";"0.001375";"0.001304261633111043";"0.0014495693877717075";"1375.0";"1304.2616331110428";"1449.5693877717074";"535523.330375";"507972.7515956088";"564565.9826539306"
"нет";"нет";"PRAEDIC";"PRAEDIC";"0.001349";"0.0012789504997903003";"0.0014228807208548824";"1349.0";"1278.9504997903005";"1422.8807208548824";"525397.071037";"498114.78620543453";"554171.5071698817"
"очень";"очень";"ADV";"ADV";"0.001345";"0.0012750570684479828";"0.0014187741829298822";"1345.0";"1275.0570684479828";"1418.7741829298823";"523839.184985";"496598.40560978046";"552572.12763104"
"во";"во";"PR";"PR";"0.001344";"0.001274083735442658";"0.0014177475236183772";"1344.0";"1274.083735442658";"1417.7475236183773";"523449.71347200003";"496219.3201315438";"552172.2730756527"
"я";"меня";"SPRO,1p,acc,sg";"SPRO";"0.001313";"0.0012439154053678879";"0.0013859160918714326";"1313.0";"1243.9154053678878";"1385.9160918714326";"511376.09656900004";"484469.6149726396";"539774.8371922139"
"быть";"была";"V,act,f,indic,intr,praet,sg";"V";"0.001296";"0.0012273756662884692";"0.0013684559615647492";"1296.0";"1227.3756662884691";"1368.4559615647493";"504755.080848";"478027.8577687532";"532974.6138244928"
"быть";"быть";"V,act,inf,intr";"V";"0.001264";"0.0011962503293112584";"0.0013355815444034155";"1264.0";"1196.2503293112584";"1335.5815444034156";"492291.992432";"465905.4256836041";"520170.96483367495"
"быть";"были";"V,act,indic,intr,pl,praet";"V";"0.001251";"0.0011836088294574932";"0.001322223144138397";"1251.0";"1183.6088294574931";"1322.223144138397";"487228.862763";"460981.9216089688";"514968.24847119855"
"ее";"ее";"APRO";"APRO";"0.001249";"0.0011816641488342466";"0.0013201678401279849";"1249.0";"1181.6641488342466";"1320.1678401279848";"486449.919737";"460224.5239043312";"514167.7661085884"
"мочь";"может";"V,3p,act,indic,intr,ipf,praes,sg";"V";"0.001209";"0.0011427800122889291";"0.0012790522840001215";"1209.0";"1142.7800122889294";"1279.0522840001215";"470871.05921700003";"445080.2604123278";"498154.42825563304"
"то";"то";"CONJ";"CONJ";"0.0012";"0.0011340336211579437";"0.0012697987442796413";"1200.0";"1134.0336211579436";"1269.7987442796414";"467365.81560000003";"441673.7902252531";"494550.438140092"
"в";"въ";"PR";"PR";"0.001188";"0.001122373254332725";"0.0012574592033029058";"1188.0";"1122.373254332725";"1257.459203302906";"462692.157444";"437132.40951570024";"489744.5384461573"
"ли";"ли";"PART";"PART";"0.001184";"0.0011184868472628078";"0.001253345641105505";"1184.0";"1118.4868472628077";"1253.3456411055051";"461134.271392";"435618.76467404567";"488142.423153316"
"время";"время";"S,acc,inan,n,sg";"S";"0.001183";"0.0011175152755424776";"0.0012523172205090058";"1183.0";"1117.5152755424776";"1252.3172205090057";"460744.799879";"435240.36516614066";"487741.8826275971"
"со";"со";"PR";"PR";"0.001154";"0.0010893449999563442";"0.0012224877189070831";"1154.0";"1089.3449999563445";"1222.487718907083";"449450.126002";"424268.8453119824";"476124.1415066604"
"что";"что";"SPRO,acc,inan,n,sg";"SPRO";"0.00114";"0.001075749296822945";"0.001208083529604869";"1140.0";"1075.749296822945";"1208.083529604869";"443997.52482";"418973.70624231856";"470514.12010558863"
"да";"да";"CONJ";"CONJ";"0.001107";"0.0010437122431814598";"0.0011741208367909801";"1107.0";"1043.7122431814598";"1174.12083679098";"431144.964891";"406496.1864885071";"457286.6187498091"
"под";"под";"PR";"PR";"0.001106";"0.0010427416464154245";"0.0011730914412401861";"1106.0";"1042.7416464154244";"1173.0914412401862";"430755.49337800004";"406118.16669752635";"456885.69850716594"
"она";"ее";"SPRO,3p,acc,f,sg";"SPRO";"0.001094";"0.0010310955298895035";"0.001160737649964153";"1094.0";"1031.0955298895035";"1160.737649964153";"426081.835222";"401582.3360736017";"452074.24872760306"
"теперь";"теперь";"ADVPRO";"ADVPRO";"0.001088";"0.0010252732011287514";"0.0011545600248239279";"1088.0";"1025.2732011287515";"1154.560024823928";"423745.00614400004";"399314.70488196815";"449668.2397174928"
"где";"где";"ADVPRO";"ADVPRO";"0.001069";"0.0010068390900754094";"0.0011349942818575092";"1069.0";"1006.8390900754094";"1134.9942818575093";"416345.047397";"392135.14375921304";"442047.9402013926"
"всё";"все";"SPRO,inan,n,nom,sg";"SPRO";"0.001027";"0.0009661081654612026";"0.001091725529164876";"1027.0";"966.1081654612026";"1091.725529164876";"399987.24385100004";"376271.6089238289";"425195.9936245699"
"без";"без";"PR";"PR";"0.00102";"0.000959322189378362";"0.00108451155902991";"1020.0";"959.322189378362";"1084.5115590299101";"397260.94326000003";"373628.6645516632";"422386.3577613679"
"быть";"будет";"V,3p,act,fut,indic,intr,sg";"V";"0.001016";"0.0009554448192330017";"0.0010803889599079522";"1016.0";"955.4448192330018";"1080.3889599079523";"395703.05720800004";"372118.5393346887";"420780.72284384654"
"можно";"можно";"PRAEDIC";"PRAEDIC";"0.001014";"0.0009535062248645612";"0.0010783275696427336";"1014.0";"953.5062248645612";"1078.3275696427336";"394924.114182";"371363.5120529189";"419977.8700583683"
"сказать";"сказал";"V,act,indic,intr,m,pf,praet,sg,tran";"V";"0.001001";"0.0009409068492931908";"0.0010649270450953203";"1001.0";"940.9068492931909";"1064.9270450953202";"389860.984513";"366456.414186282";"414758.7474878936"
"быть";"есть";"V,3p,act,indic,intr,praes,sg";"V";"0.001";"0.0009399377742246103";"0.0010638961278470714";"1000.0";"939.9377742246103";"1063.8961278470715";"389471.51300000004";"366078.98705311137";"414357.2345874404"
"там";"там";"ADVPRO";"ADVPRO";"0.001";"0.0009399377742246103";"0.0010638961278470714";"1000.0";"939.9377742246103";"1063.8961278470715";"389471.51300000004";"366078.98705311137";"414357.2345874404"
"их";"их";"APRO";"APRO";"0.000982";"0.0009224970955560644";"0.001045336944812686";"982.0";"922.4970955560644";"1045.336944812686";"382461.02576600004";"359286.33954432595";"407128.9614909943"
"после";"после";"PR";"PR";"0.000971";"0.0009118414339597594";"0.0010339926909238664";"971.0";"911.8414339597595";"1033.9926909238663";"378176.83912300004";"355136.2629003971";"402710.6977650596"
"потом";"потом";"ADVPRO";"ADVPRO";"0.000909";"0.0008518198996797742";"0.0009700147015604215";"909.0";"851.8198996797743";"970.0147015604215";"354029.605317";"331759.5851317899";"377793.0934489808"
"ни";"ни";"PART";"PART";"0.000896";"0.0008392432291437158";"0.0009565914719776963";"896.0";"839.2432291437159";"956.5914719776963";"348966.475648";"326861.3302296087";"372565.1279140505"
"ну";"ну";"PART";"PART";"0.000891";"0.000834406866471651";"0.0009514278730656135";"891.0";"834.406866471651";"951.4278730656135";"347019.118083";"324977.7047423029";"370554.0532332365"
"себя";"себя";"SPRO,acc";"SPRO";"0.000883";"0.0008266696455938566";"0.0009431651554087718";"883.0";"826.6696455938567";"943.1651554087719";"343903.34597900003";"321964.27762061317";"367335.9600859345"
"они";"их";"SPRO,3p,acc,pl";"SPRO";"0.000866";"0.0008102320389229584";"0.0009256028926935682";"866.0";"810.2320389229584";"925.6028926935682";"337282.330258";"315562.2980803995";"360495.95905454067"
"я";"меня";"SPRO,1p,gen,sg";"SPRO";"0.00086";"0.0008044318486044258";"0.0009194031291111237";"860.0";"804.4318486044258";"919.4031291111237";"334945.50118";"313303.28918135265";"358081.3277518437"
"надо";"надо";"PRAEDIC";"PRAEDIC";"0.000839";"0.0007841367372145286";"0.000897698401847601";"839.0";"784.1367372145286";"897.6984018476012";"326766.599407";"305398.92144182586";"349627.9547852672"
"здесь";"здесь";"ADVPRO";"ADVPRO";"0.000824";"0.0007696456519871945";"0.0008821896023224925";"824.0";"769.6456519871945";"882.1896023224924";"320924.526712";"299755.0565533241";"343587.7191694094"
"потому";"потому";"ADVPRO";"ADVPRO";"0.000824";"0.0007696456519871945";"0.0008821896023224925";"824.0";"769.6456519871945";"882.1896023224924";"320924.526712";"299755.0565533241";"343587.7191694094"
"более";"более";"ADVPRO,comp";"ADVPRO";"0.000813";"0.0007590218100924716";"0.0008708135287320906";"813.0";"759.0218100924717";"870.8135287320906";"316640.340069";"295617.37277671363";"339157.06257615634"
"тогда";"тогда";"ADVPRO";"ADVPRO";"0.000812";"0.0007580561322693251";"0.0008697792142384076";"812.0";"758.056132269325";"869.7792142384077";"316250.868556";"295241.26877386216";"338754.22654538375"
"то";"то";"SPRO,inan,n,nom,sg";"SPRO";"0.000809";"0.000755159225947054";"0.0008666761436101903";"809.0";"755.1592259470541";"866.6761436101903";"315082.45401700004";"294113.006285508";"337545.6689328661"
"тут";"тут";"ADVPRO";"ADVPRO";"0.00079";"0.0007368166452316868";"0.0008470188703057966";"790.0";"736.8166452316868";"847.0188703057966";"307682.49527";"286969.09362196934";"329889.72095754935"
"ничто";"ничего";"SPRO,gen,inan,n,sg";"SPRO";"0.000784";"0.0007310258919847788";"0.0008408096696517275";"784.0";"731.0258919847788";"840.8096696517275";"305345.66619200003";"284713.7601934864";"327471.41418428853"
"то";"того";"SPRO,gen,inan,n,sg";"SPRO";"0.000778";"0.0007252359417926785";"0.0008345996659428508";"778.0";"725.2359417926787";"834.5996659428507";"303008.837114";"282458.7395319745";"325052.79464405664"
"то";"то";"PART";"PART";"0.000765";"0.0007126938491447181";"0.0008211418584720274";"765.0";"712.6938491447181";"821.1418584720275";"297945.707445";"277573.9517321871";"319811.3620067324"
"он";"него";"SPRO,3p,gen,m,sg";"SPRO";"0.00075";"0.0006982270702747672";"0.0008056087525895356";"750.0";"698.2270702747672";"805.6087525895356";"292103.63475";"271939.5534774709";"313761.6597570891"
"кто";"кто";"SPRO,anim,m,nom,sg";"SPRO";"0.000748";"0.0006962985682001545";"0.0008035372700304892";"748.0";"696.2985682001544";"803.537270030489";"291324.69172400003";"271188.45685664786";"312954.87631066417"
"год";"лет";"S,gen,inan,m,pl";"S";"0.000738";"0.0006866575015299593";"0.0007931784135323894";"738.0";"686.6575015299594";"793.1784135323895";"287429.976594";"267433.5360336731";"308920.3967973994"
"между";"между";"PR";"PR";"0.000721";"0.0006702733198026283";"0.0007755627258736186";"721.0";"670.2733198026283";"775.5627258736185";"280808.96087300003";"261052.3639870625";"302059.5882724025"
"это";"это";"SPRO,acc,inan,n,sg";"SPRO";"0.000716";"0.0006654558222401983";"0.0007703802618519009";"716.0";"665.4558222401982";"770.3802618519011";"278861.603308";"259176.08592254907";"300041.1661687961"
"через";"через";"PR";"PR";"0.000715";"0.0006644923991700174";"0.0007693436926052523";"715.0";"664.4923991700174";"769.3436926052524";"278472.131795";"258800.86008174662";"299637.45197597455"
"сейчас";"сейчас";"ADVPRO";"ADVPRO";"0.000704";"0.0006538964472491354";"0.0007579397290410098";"704.0";"653.8964472491355";"757.9397290410097";"274187.945152";"254674.03865544545";"295195.93303241214"
"тоже";"тоже";"ADVPRO";"ADVPRO";"0.000704";"0.0006538964472491354";"0.0007579397290410098";"704.0";"653.8964472491355";"757.9397290410097";"274187.945152";"254674.03865544545";"295195.93303241214"
"весь";"все";"APRO,nom,pl";"APRO";"0.000698";"0.0006481181689755967";"0.0007517180534135714";"698.0";"648.1181689755969";"751.7180534135713";"271851.116074";"252423.56387371532";"292772.7676123985"
"мы";"нам";"SPRO,1p,dat,pl";"SPRO";"0.00069";"0.0006404152866004594";"0.0007434209972540726";"690.0";"640.4152866004594";"743.4209972540726";"268735.34397";"249423.51062060954";"289541.3005965125"
"всё";"все";"ADVPRO";"ADVPRO";"0.000689";"0.0006394525472213236";"0.0007423837443163788";"689.0";"639.4525472213236";"742.383744316379";"268345.872457";"249048.55105799285";"289137.3201255052"
"ни";"ни";"CONJ";"CONJ";"0.000688";"0.0006384898349072163";"0.0007413464643136566";"688.0";"638.4898349072163";"741.3464643136566";"267956.400944";"248673.60203643376";"288733.32911344036"
"об";"об";"PR";"PR";"0.00068";"0.0006307891178494082";"0.0007330472428368286";"680.0";"630.7891178494082";"733.0472428368287";"264840.62884";"245674.3921127443";"285501.018768138"
"мы";"нас";"SPRO,1p,gen,pl";"SPRO";"0.000677";"0.000627901802745691";"0.0007299345809900571";"677.0";"627.9018027456912";"729.934580990057";"263672.214301";"244549.86513079185";"284288.72564921854"
"она";"ей";"SPRO,3p,dat,f,sg";"SPRO";"0.000656";"0.0006076976939306345";"0.0007081388511516939";"656.0";"607.6976939306345";"708.1388511516939";"255493.312528";"236680.94030177515";"275799.909772132"
"который";"которые";"APRO,nom,pl";"APRO";"0.000655";"0.0006067359091429419";"0.000707100643622557";"655.0";"606.7359091429419";"707.100643622557";"255103.841015";"236306.3525253321";"275395.5575149511"
"человек";"человек";"S,anim,m,nom,sg";"S";"0.000652";"0.000603850730216565";"0.0007039858455984452";"652.0";"603.850730216565";"703.9858455984453";"253935.42647600002";"235182.6575236004";"274182.4324158108"
"год";"года";"S,gen,inan,m,sg";"S";"0.000646";"0.0005980811678970436";"0.0006977554540169896";"646.0";"598.0811678970437";"697.7554540169896";"251598.597398";"232935.57735766858";"271755.87237999885"
"да";"да";"PART";"PART";"0.000633";"0.0005855841508008207";"0.0006842525709944288";"633.0";"585.5841508008208";"684.2525709944288";"246535.467729";"228068.3452012158";"266496.8840993401"
"себя";"себе";"SPRO,dat";"SPRO";"0.000632";"0.0005846230548712532";"0.0006832136746071668";"632.0";"584.6230548712533";"683.2136746071668";"246145.996216";"227694.02571538903";"266092.26355154294"
"сам";"сам";"APRO,m,nom,sg";"APRO";"0.000628";"0.0005807789798797081";"0.0006790577803313937";"628.0";"580.7789798797081";"679.0577803313938";"244588.110164";"226196.8680123465";"264473.6611200896"
"вы";"вам";"SPRO,2p,dat,pl";"SPRO";"0.000618";"0.0005711709794534903";"0.0006686658575893165";"618.0";"571.1709794534903";"668.6658575893167";"240693.39503400002";"222454.8255494428";"260426.30324675367"
"который";"который";"APRO,m,nom,sg";"APRO";"0.000612";"0.0005654077031353504";"0.0006624291800064792";"612.0";"565.4077031353504";"662.4291800064793";"238356.565956";"220210.1936019798";"257997.29499247283"
"раз";"раз";"S,acc,inan,m,sg";"S";"0.00061";"0.0005634868687368936";"0.0006603500297712771";"610.0";"563.4868687368937";"660.3500297712773";"237577.62293";"219462.08332259036";"257187.52520461436"
"то";"тем";"SPRO,inan,ins,n,sg";"SPRO";"0.00061";"0.0005634868687368936";"0.0006603500297712771";"610.0";"563.4868687368937";"660.3500297712773";"237577.62293";"219462.08332259036";"257187.52520461436"
"всегда";"всегда";"ADVPRO";"ADVPRO";"0.000599";"0.0005529246189327153";"0.0006489123640903307";"599.0";"552.9246189327154";"648.9123640903308";"233293.43628700002";"215348.38791067307";"252732.88024666798"
"перед";"перед";"PR";"PR";"0.000598";"0.0005519646129973875";"0.0006478723777088289";"598.0";"551.9646129973875";"647.8723777088289";"232903.96477400002";"214974.49294655197";"252327.83517716508"
"над";"над";"PR";"PR";"0.000582";"0.0005366091261086567";"0.0006312279875282875";"582.0";"536.6091261086567";"631.2279875282876";"226672.42056600002";"208993.96823514634";"245845.31935058726"
"то";"том";"SPRO,inan,loc,n,sg";"SPRO";"0.00058";"0.0005346903100248164";"0.0006291468189784687";"580.0";"534.6903100248163";"629.1468189784687";"225893.47754000002";"208246.6440318043";"245034.76348668133"
"свой";"свою";"APRO,acc,f,sg";"APRO";"0.000576";"0.0005308530988610691";"0.000624984060874898";"576.0";"530.8530988610692";"624.984060874898";"224335.591488";"206752.1595941592";"243413.48778983063"
"это";"это";"PART";"PART";"0.000575";"0.0005298938843104716";"0.000623943283108666";"575.0";"529.8938843104715";"623.9432831086662";"223946.119975";"206378.57285184631";"243008.1344985195"
"они";"них";"SPRO,3p,gen,pl";"SPRO";"0.000546";"0.0005020924832369331";"0.0005937449069941486";"546.0";"502.0924832369331";"593.7449069941487";"212651.44609800001";"195550.71911221548";"231246.72726305536"
"почти";"почти";"ADV";"ADV";"0.000533";"0.0004896401058920223";"0.0005801973842202756";"533.0";"489.64010589202235";"580.1973842202756";"207588.316429";"190700.87286724616";"225970.35307091306"
"это";"этого";"SPRO,gen,inan,n,sg";"SPRO";"0.000529";"0.0004858099453016176";"0.0005760275755433623";"529.0";"485.80994530161763";"576.0275755433624";"206030.430377";"189209.13442706826";"224346.33137659513"
"ведь";"ведь";"PART";"PART";"0.000528";"0.000484852505359384";"0.0005749850231687664";"528.0";"484.85250535938405";"574.9850231687665";"205640.95886400001";"188836.2388441599";"223940.2869258795"
"чем";"чем";"CONJ";"CONJ";"0.000526";"0.00048293774651733283";"0.0005728997973771584";"526.0";"482.93774651733276";"572.8997973771585";"204862.01583800002";"188090.4948209161";"223128.1508818753"
"***";"***";"nonlex";"nonlex";"0.000526";"0.00048293774651733283";"0.0005728997973771584";"526.0";"482.93774651733276";"572.8997973771585";"204862.01583800002";"188090.4948209161";"223128.1508818753"
"конечно";"конечно";"PARENTH";"PARENTH";"0.000523";"0.0004800659125862307";"0.0005697716543577719";"523.0";"480.06591258623075";"569.7716543577719";"203693.601299";"186971.99731468502";"221909.82828723447"
"он";"ним";"SPRO,3p,ins,m,sg";"SPRO";"0.000517";"0.0004743233518743282";"0.0005635142611686974";"517.0";"474.3233518743282";"563.5142611686975";"201356.77222100002";"184735.433505726";"219472.75189444976"
"день";"день";"S,acc,inan,m,sg";"S";"0.000515";"0.00047240949649230085";"0.0005614281319170657";"515.0";"472.40949649230083";"561.4281319170658";"200577.829195";"183990.0413544246";"218660.26397850318"
"это";"этом";"SPRO,inan,loc,n,sg";"SPRO";"0.000508";"0.00046571232710386566";"0.0005541253550876943";"508.0";"465.71232710386573";"554.1253550876944";"197851.52860400002";"181381.68465989348";"215816.04043766655"
"бы";"бы";"PART";"PART";"0.000508";"0.00046571232710386566";"0.0005541253550876943";"508.0";"465.71232710386573";"554.1253550876944";"197851.52860400002";"181381.68465989348";"215816.04043766655"
"человек";"люди";"S,anim,m,nom,pl";"S";"0.000504";"0.0004618863099986574";"0.0005499514029255846";"504.0";"461.8863099986574";"549.9514029255846";"196293.642552";"179891.55998916412";"214190.40497390006"
"совсем";"совсем";"ADV";"ADV";"0.000503";"0.0004609299134416345";"0.000548907807165778";"503.0";"460.9299134416345";"548.907807165778";"195904.171039";"179519.07077507244";"213783.9541543678"
