0.231032 0.0220279 0.0819233 0.242231 0.042369 0.00655573 0.0220902 0.149018 0.00442559 0.0088982 0.0621734 0.075831 0 0.0600017 0.0421468 0.0244098 0.00890453 0.0689828 0.0780118 0.629343 0.371454 0.0089373 0.656842 0.0643702 0.0534324 0.0245436 0.205481 0.00228773 0.649885 0.13796 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.0499 1.07108 0.957784 0.229199 0.284823 0 0 0 David Shaw ,Ron Baron ,Scott Nuttall ,Don Hankey ,George Roberts ,David Bonderman ,
0.246449 0.0249433 0.0927569 0.20463 0.0428696 0.00498103 0.0224692 0.168648 0.00250756 0.00758185 0.0678173 0.0685258 0 0.0679305 0.030243 0.0276465 0.00506637 0.0730537 0.0883294 0.629139 0.37101 0.00824987 0.613953 0.0728469 0.0605 0.0277778 0.100594 0.0025911 0.73569 0.156185 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.0648 1.06851 0.957863 0.229554 0.284705 0 0 0 Russ Weiner ,Tom Gores ,Rodney Sacks ,Andrew Beal ,Behdad Eghbali ,Joseph Steinberg ,
0.252466 0.022761 0.120728 0.266247 0.0392667 0.00648464 0.0227384 0.0330959 0.0032626 0.00986403 0.088235 0.0693441 0 0.0721471 0.0328254 0.0294884 0.00329225 0.0818847 0.0983347 0.631436 0.369866 0.00825766 0.701084 0.0359836 0.0755229 0.00985383 0.0949368 0.00337097 0.780332 0.186951 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.10315 1.06189 0.958069 0.230467 0.284402 0 0 0 Alfred West Jr. ,Paul Tudor Jones II. ,Bruce Karsh ,Wesley Edens ,Jonathan Nelson ,Sami Mnaymneh ,
0.244565 0 0.314736 0.0944904 0.0260768 0 0.0255259 0.0862211 0 0.0169624 0 0.0430113 0 0.059687 0.0257237 0.0598867 0.0085886 0.0851317 0.153959 0.621374 0.361936 0.00535782 0.400201 0.00868907 0.15416 0.0256978 0.247577 0.0087845 0.555091 0.428006 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0570546 1.3691 1.01596 0.959496 0.2368 0.282299 0 0 0 Melinda French Gates ,Dagmar Dolby & family ,Henry Samueli ,Jan Koum ,Henry Nicholas III. ,John Ocampo ,
0.20774 0 0.39794 0.106999 0.0120605 0 0.0235403 0.0236836 0 0 0 0.0592547 0 0.0471049 0 0.0586275 0 0.0824251 0.188364 0.606726 0.357068 0.0048928 0.50409 0.0119658 0.212384 0.0353953 0.341126 0.0120833 0.387045 0.21204 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.0933717 1.53237 0.987768 0.960372 0.240688 0.281008 0 0 0 Bob Parsons ,Jared Smith ,John Bicket ,Thomas Siebel ,Jeffrey Michael & family ,Bharat Desai ,
0.157996 0 0.0544491 0.168065 0.0189584 0 0.0370128 0.0371527 0 0 0 0.0930091 0 0.0739539 0 0.0921492 0 0.129444 0.295806 0.588552 0.346955 0.00446619 0.239357 0.0187953 0.315241 0.0555729 0.535715 0.0190009 0.0556753 0.277464 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.168815 1.87153 0.9292 0.962192 0.248764 0.278326 0 0.0530036 0 Daniel Hirschfeld ,Peter Kellogg ,James France ,J.B. Pritzker ,Herbert Allen Jr. & family ,Richard LeFrak & family ,
0.13909 0 0.091811 0.283932 0.0320212 0 0.0625424 0 0 0 0 0.0317725 0 0.124984 0 0.155664 0 0.031293 0.18598 0.539083 0.327706 0.00552485 0.372538 0.0317725 0 0 0.874047 0 0.0941802 0.249355 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.312412 2.51707 0.817723 0.965656 0.264135 0.273221 0 0.274658 0 Philip Anschutz ,Randolph Lerner ,Charles B. Johnson ,Marc Andreessen ,David Booth ,Howard Marks ,
0.157168 0 0.122133 0.378434 0 0 0.083241 0 0 0 0 0.042434 0 0.166348 0 0.207392 0 1.7643e-05 0 0.521461 0.311988 0.00490666 0.248513 0.042434 0 0 0.83201 0 0.125556 0.290907 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.429666 3.04419 0.726697 0.968484 0.276687 0.269053 0 0.455649 0 Gary Rollins ,Mitchell Jacobson ,Edward Bass ,Sue Gross ,William Koch ,John Arnold ,
0.142427 0 0.266098 0.000160324 0 0 0.0928325 0 0 0 0 0.0932808 0 0.091947 0 0.455681 0 0 0 0.615574 0.236618 0.00193968 0.544156 0.0932808 0 0 0.630432 0 0.276288 0.268483 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.991919 5.57183 0.290209 0.982046 0.336875 0.249065 0 1.32353 0 Hamdi Akin & family ,Ahmet Calik ,Erman Ilicak ,Deniz Sahenk ,Sezai Bacaksiz ,Bulent Eczacibasi ,
0.129466 0 0.433384 6.5869e-07 0 0 0.152496 0 0 0 0 0.153538 0 0.151015 0 0.109567 0 0 0 0.477615 0.147823 0.00104574 0.890432 0.153538 0 0 0.392946 0 0.453517 0.28376 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1.65433 8.54974 0 0.998023 0.407785 0.225517 0 2.34602 0 Marcos Galperin ,Gregorio Perez Companc & family ,Eduardo Eurnekian ,Eduardo Costantini ,Sefik Yilmaz Dizdar ,Aydin Dogan ,
0.198011 0.0229963 0.113053 0.175349 0.0362534 0.0134806 0.0804607 0.0799199 0.0153131 0.0119994 0.0869115 0.0746892 0.0288462 0.0365649 0.0612624 0.0192653 0.0191413 0.0168554 0.107639 0.615115 0.143758 0.00889006 0.626506 0.420032 0.0646411 0.0348586 0.115038 0.0245786 0.340851 0.136154 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000473798 0 0.0395312 0 0.0964573 0 0 0.102043 0 0 Dirk Rossmann & family ,Andreas Struengmann & family ,Masateru Uno & family ,Carsten Maschmeyer ,Clemens Toennies ,Ludwig Merckle ,
0.201004 0.0236496 0.115986 0.175386 0.0366047 0.0120887 0.0732848 0.0797532 0.0130969 0.0110946 0.0799732 0.0812539 0.0305396 0.037425 0.0644628 0.0184974 0.0193966 0.0179721 0.109534 0.619851 0.156458 0.00856137 0.639207 0.414355 0.0586894 0.0334355 0.11671 0.0237532 0.353056 0.133457 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0.000519154 0.177253 0.142266 0 0.300407 0.227611 0.215867 0.25151 0 0 Hasso Plattner & family ,Lutz Mario Helmig & family ,Hans Langer ,Marek Dospiva ,Wilhelm Beier & family ,Guenther Fielmann & family ,
